lat,lon,species,d18Oc,sigmaT
36.77,-9.85,"G, bulloides",-0.01,26.12861442565918
55.5,-14.7,"G, bulloides",1.12,26.935495376586914
-43.82,51.32,"G, bulloides",2.33,26.307493209838867
58.76,-25.96,"G, bulloides",1.59,27.084978103637695
41.52,17.98,"G, bulloides",1.53,27.75012969970703
28.8883,-13.225,"G, bulloides",-0.46,25.95749855041504
29.0167,-12.4667,"G, bulloides",-0.05,26.007444381713867
52.71,-36.09,"G, bulloides",1.7,26.879501342773438
54.64,-16.36,"G, bulloides",0.9,26.888465881347656
41.76,-47.35,"G, bulloides",1.18,25.496091842651367
50.69,-21.87,"G, bulloides",0.78,26.700620651245117
-47.0,172.0,"G, bulloides",1.484,26.376855850219727
-51.0,164.0,"G, bulloides",1.1793,26.6243839263916
35.92,27.3,"G, bulloides",1.02,27.865995407104492
36.08,26.83,"G, bulloides",0.92,28.070070266723633
-41.13,7.82,"G, bulloides",1.9297,26.306276321411133
-17.2,-78.11,"G, bulloides",-1.86,24.8266658782959
36.02,-7.67,"G, bulloides",0.0,26.067758560180664
-53.736,-58.904,"G, bulloides",2.15,26.805862426757812
-41.69,-12.34,"G, bulloides",1.0946,26.284339904785156
-42.892,-6.022,"G, bulloides",1.9973,26.390432357788086
-46.873,-5.718,"G, bulloides",2.68,26.69329071044922
-46.873,-5.718,"G, bulloides",2.86,26.69329071044922
-46.873,-5.718,"G, bulloides",2.65,26.69329071044922
-49.129,-6.004,"G, bulloides",2.71,26.904626846313477
-49.129,-6.004,"G, bulloides",2.97,26.904626846313477
-49.129,-6.004,"G, bulloides",2.93,26.904626846313477
-48.062,-5.998,"G, bulloides",2.91,26.830711364746094
-48.062,-5.998,"G, bulloides",2.86,26.830711364746094
-48.062,-5.998,"G, bulloides",2.76,26.830711364746094
-53.329,-59.096,"G, bulloides",1.98,26.738143920898438
-53.329,-59.096,"G, bulloides",1.92,26.738143920898438
-53.329,-59.096,"G, bulloides",2.15,26.738143920898438
-53.329,-59.096,"G, bulloides",2.23,26.738143920898438
-53.329,-59.096,"G, bulloides",2.45,26.738143920898438
-53.606,-58.977,"G, bulloides",1.79,26.805862426757812
-53.606,-58.977,"G, bulloides",1.91,26.805862426757812
-53.606,-58.977,"G, bulloides",2.37,26.805862426757812
-46.873,-5.718,"G, bulloides",2.7,26.69329071044922
-41.69,-12.34,"G, bulloides",1.8325,26.284339904785156
-48.567,-6.0,"G, bulloides",2.93,26.830711364746094
-48.567,-6.0,"G, bulloides",2.52,26.830711364746094
-42.892,-6.022,"G, bulloides",1.8509,26.390432357788086
-42.892,-6.022,"G, bulloides",2.1445,26.390432357788086
-42.892,-6.022,"G, bulloides",2.0579,26.390432357788086
-43.175,-4.052,"G, bulloides",2.176,26.46556854248047
-43.175,-4.052,"G, bulloides",2.2136,26.46556854248047
-43.175,-4.052,"G, bulloides",2.2268,26.46556854248047
-43.175,-4.052,"G, bulloides",2.0394,26.46556854248047
-44.955,5.97,"G, bulloides",2.3801,26.541215896606445
-44.955,5.97,"G, bulloides",2.1475,26.541215896606445
-44.955,5.97,"G, bulloides",2.3794,26.541215896606445
-44.955,5.97,"G, bulloides",2.4962,26.541215896606445
-42.883,8.968,"G, bulloides",1.5975,26.397232055664062
-42.883,8.968,"G, bulloides",2.0235,26.397232055664062
-42.883,8.968,"G, bulloides",2.0162,26.397232055664062
